name,reviews,ratings
21 Jump Street,"I thoroughly enjoyed this movie. There wasn't a dull moment throughout the entire film as it had a perfect blend of comedy, emotion and humor. Aside from the humorous aspects, the movie also highlights the strong bond and friendship between two individuals with diverse personalities and skills. They manage to conquer their fears and insecurities to attain their objectives, despite their differences. It's an excellent movie overall and I hope upcoming movies will be just as good as this one. This film brings back memories from the 2010s.",4.5
21 Jump Street,A great work of comedy with great performances and great chemistry between two stereotypical characters that keep you hooked throughout the film.,4.0
21 Jump Street,Infantile. Cringeworthy.,0.5
21 Jump Street,A classic in modern comedy. One of the rare ones where the sequel is just as good as the first.,5.0
21 Jump Street,"LOL, the funniest 01 hour: and 50 minutes ever!!!!!!!!!!!!!!!!!!!!!!!!!!!! Ages 17 and older!!!!!!!!!!!!!!!!!!!!!",5.0
21 Jump Street,"Absolutely hilarious, Jonah Hill did an incredible job on this movie and too many funny moments to count.",5.0
21 Jump Street,Absolutely hilarious action comedy!,4.5
21 Jump Street,Great self-aware action comedy. 7.5/10,4.0
21 Jump Street,"Wasn't sure how a 21 Jump Street re-boot would work, but to take this down the comedy route rather than be a full on action movie was a smart move.
One of 2012's best comedy.",4.0
21 Jump Street,"Very funny movie, best I've seen from these actors",4.5
21 Jump Street,Instant classic. I love the stupid simple humor in it.,4.0
21 Jump Street,"Super fun, it works as a high school story even though the main characters aren't even in high school. It's another ""how the hell did we end up here"" comedy, and I love those. Like ""Superbad"", this movie is super funny.",4.5
21 Jump Street,"LOL, the funniest 01 hour: and 50 minutes ever!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",5.0
21 Jump Street,"THEY THOUGHT THE STREETS WERE MEAN. THEN THEY WENT BACK TO HIGH SCHOOL.

21 Jump Street is a 2012 American buddy cop action comedy film directed by Phil Lord and Christopher Miller (in their live action directional debuts) 🏫

Meh, it passed the time. 
Just. 😐
👍🏼👎🏼

In high school, Schmidt was a dork and Jenko was the popular jock. After graduation, both of them joined the police force and ended up as partners riding bicycles in the city park. Since they are young and look like high school students, they are assigned to an undercover unit to infiltrate a drug ring that is supplying high school students synthetic drugs.",2.5
21 Jump Street,They changed my boy kanye. I miss the old kanye before the movie changed him for the worst,0.5
21 Jump Street,Best movie of tgus decade because kanye west likes it. Jona Hill is my savior thank u for saving kanye and now e eryone can be happy. Foirgive kanye for what he did.,5.0
21 Jump Street,Thank you Jonah for bringing Kanye this amazing comedy to re wire his brain now we must go back in time to stop Hitler with this movie,5.0
21 Jump Street,Amazing movie fantastic story tons of laughs    One of the most rewatch able movies.,5.0
21 Jump Street,2nd watch. 67%. Definitely some funny moments but not enough consistent laughs. Some very dumb moments too. Possibly worth a rewatch,3.5
21 Jump Street,"21 Jump Street is a funny movie. It's so wacky, goofy, and stupid, but damn, is it hilarious! I love the concept of two cops undercover as high school students, where the two cops used to bully and be bullied by one another. Jonah Hill and Channing Tatum kill their roles and are very funny. Dave Franco also plays a very funny role. I thought his character was actually the funniest characters in the movie. There are also many action scenes that are thrilling AND hilarious. I believe the film does an excellent job of balancing action and comedy. It's definitely a great movie that's worth watching.",3.5
The 40-Year-Old Virgin,This movie is so silly that it's hard not to get in a laugh or two.,4.0
The 40-Year-Old Virgin,There is so much great about this movie. Even behind the scenes.,5.0
The 40-Year-Old Virgin,Childish and moronic right up apatos Lane of stupid comedy. Did eBay produce this movie could we see eBay some more?,1.0
The 40-Year-Old Virgin,Amazingly funny.  Seth Rogan's last likable role.,5.0
The 40-Year-Old Virgin,"Watched this again for the first time in a while and it holds up well, still makes me laugh and the cast, especially Carell, are great.",4.5
The 40-Year-Old Virgin,"The story and plot was very good and somewhat funny, the acting was pretty good, and the characters were ok. This movie was way too long. Could have been over half an hour shorter and it would have had a better rating from me. It just dragged on for so long that by the time he had sex you were already tired from the movie and now it wasn't hyped enough anymore.",3.0
The 40-Year-Old Virgin,"A Classic Comedy Movie. The acting is solid overall. I felt some supporting cast were more forced at times than others though with the joke delivery and no one I felt was Leslie Neilson in Naked Gun level funny. The music is really good also. This is really well paced overall and keeps the jokes coming at a good steady pace and consistently gets a chuckle and a good laugh here and there. The best was the wax scene. The editing is really good also. This does a great job mixing a sex comedy with a romance story overall. The only real issues is sometimes in the middle it feels like sex gags just kind of happen without a real flow to it and it would be one thing if they were LOL funny but not for just chuckles. It does at times in the middle because of that start to drag just a bit. The tender romance moments are really well done and ironically besides the wax scene, the strongest points of the film. If it would've dialed back some of the unneeded humor in the middle it would be amazing. The cinematography is really good also. The only real issue while there are plenty of solid visual gags, sometimes it just gets into ""Mean"" style humor like racist jokes which are a little out of place for a sex comedy. These aren't as funny as the witty dialogue ones as they drag quite a bit and aren't really visual joke based. The camerawork is basic also but the settings are memorable surprisingly. Anyone who is a fan of comedies, Rom-Coms, or any actors in this will like his a lot.",4.5
